221,169,5,4
220,164,3,3
113,269,1,5
133,256,0,5
175,219,0,3
259,156,0,1
273,140,1,0
280,140,0,0
280,141,0,0
280,142,0,0


221,169,5,4
248,197,4,2
247,182,1,1
247,241,2,3
222,267,2,5
245,266,0,3
253,283,3,4
228,287,7,3
226,280,7,2
258,270,5,2

221,169,5,4
216,184,5,1
236,196,3,2
234,220,3,3
185,269,4,2
184,282,4,2
239,278,4,3
227,266,5,2
176,286,3,1
209,275,5,4
189,262,5,3
185,292,3,5
202,212,4,3
195,230,7,3
207,205,6,2
203,244,6,3
242,244,2,4
254,216,1,5
259,261,4,3
253,253,3,4
256,245,5,4
236,250,5,6
219,254,5,5
207,260,4,7
206,271,6,7
228,296,5,5
232,282,6,3
236,281,4,3
192,296,7,5
186,282,7,8

61,49,3,1
63,55,2,1
63,55,2,1
63,55,2,1
63,55,2,1
63,55,2,1
57,48,2,1
64,50,1,1
64,50,1,1
59,55,1,1
59,55,1,1
59,55,1,1
59,55,1,1
59,55,1,1
59,55,1,1
59,55,1,1
59,56,2,1
59,56,2,1
59,56,2,1


61,49,3,1
79,34,2,0
79,34,2,0
79,34,2,0
79,34,2,0
79,34,2,0
79,34,2,0

61,49,3,1
79,34,2,0
79,34,2,0
79,34,2,0
79,34,2,0

61,49,3,1
60,57,1,2
42,54,1,2
44,64,1,2
59,67,1,2
62,68,2,2
48,56,2,1
39,56,1,1
48,68,1,1
48,68,1,1
48,68,1,1
48,68,1,1
40,49,1,1
48,58,2,2
48,58,2,2
46,55,1,1
46,55,1,1
46,55,1,1
60,58,2,2
60,58,2,2
60,58,2,2
60,58,2,2
60,58,2,2
60,58,2,2
50,67,2,2
59,49,1,1
59,49,1,1
60,55,1,1
60,49,1,1
60,49,1,1
61,49,3,1
60,57,1,2
42,54,1,2
44,64,1,2
61,49,3,1
61,49,3,1
59,33,2,0


75,55,3,2
60,49,1,2
60,37,1,1
64,36,2,1
64,52,2,0
41,33,2,1
54,38,3,1
52,54,3,2
56,50,1,1
63,45,2,1
66,27,3,0
42,38,2,0
29,39,1,1
63,74,1,2
66,72,1,3
51,48,1,1
58,37,2,1
72,48,1,1
59,29,1,0

61,49,3,1
87,27,3,0
87,27,3,0
87,27,3,0
87,27,3,0
87,27,3,0
87,27,3,0

61,49,3,1
87,27,3,0
87,27,3,0

61,49,3,1
59,33,2,0
75,55,3,2
60,49,1,2
60,37,1,1
64,36,2,1
64,52,2,0
41,33,2,1
54,38,3,1
52,54,3,2
56,50,1,1
63,45,2,1
66,27,3,0
42,38,2,0
29,39,1,1
63,74,1,2
66,72,1,3
51,48,1,1
58,37,2,1

177,156,3,3
153,167,7,2
160,149,5,2
155,155,4,5
159,165,5,3
157,151,4,1
193,151,3,3
176,146,3,3
151,152,6,5
165,165,5,5
184,177,5,3
198,158,4,5
161,178,6,3
190,176,5,6
177,171,6,6
212,195,4,5
211,154,5,4
192,138,4,4
185,165,5,5
175,169,6,4
158,185,4,3
143,172,6,5
149,165,6,5
207,102,5,5
177,137,4,5
80,67,3,2
53,54,2,2
44,57,3,3
51,66,3,2
110,45,2,1
108,70,2,2
121,56,1,2
81,46,1,0
88,68,1,1
63,64,3,1
85,73,1,2
107,64,1,2
99,65,3,3
88,44,4,1
73,51,4,2
77,69,3,1
83,60,3,1
100,46,4,1
94,65,4,2
82,88,3,0
110,89,4,1
117,85,3,2
73,109,3,0
98,80,4,1
94,69,3,1
106,61,4,1
99,75,4,1
93,104,4,2
81,112,4,1
98,112,2,3
81,98,2,3
68,85,0,2
58,97,1,1
99,94,1,3
72,93,1,3
74,84,3,2
110,78,3,2
115,84,2,2
97,91,2,3
95,86,3,2
103,92,3,1
104,63,2,2
99,76,1,3
98,66,2,1
119,47,2,2
121,81,1,2
112,67,2,1
95,68,3,3
104,69,3,3
92,68,1,0
62,55,1,0
66,60,0,3
81,72,0,2
71,74,1,2
98,69,3,2
79,79,3,3
60,72,2,2
75,65,2,3
75,74,1,1
80,58,1,1
44,39,2,0
54,59,2,1
